plan

{


target rectangle 	x 216 z 60 rot 0 width 192 height 192
floor		roman_large_city_underlay.cas roman_large_city_overlay.CAS
ground_types	roman_large_city_ground.tga -480 -480 480 480
street_plan	roman_large_city_pathfinding.cas
borders
	{

;WALLS
tower_straight,		-320.00,	416.00,	-180.00,	0.500
tower_straight,		-352.00,	-256.00,	-90.00,	0.500
tower_straight,		-416.00,	128.00,	-90.00,	0.500
tower_straight,		416.00,	256.00,	90.00,	0.500
tower_straight,		416.00,	-0.00,	90.00,	0.500
tower_straight,		256.00,	-416.00,	0.00,	0.500
gateway,			-192.00,	-416.00,	0.00,	0.500
straight,			-256.00,	416.00,	-180.00,	0.500
straight_link,		-352.00,	416.00,	-180.00,	0.500
straight_link,		-288.00,	416.00,	-180.00,	0.500
straight,			-384.00,	416.00,	-180.00,	0.500
external_left_link,		-224.00,	416.00,	180.00,	0.500
tower_external_corner_link,	-416.00,	416.00,	-90.00,	0.500
straight,			-192.00,	384.00,	135.00,	0.500
diagonal_link,		-160.00,	352.00,	135.00,	0.500
tower_straight,		-128.00,	320.00,	135.00,	0.500
straight,			0.00,	288.00,	-180.00,	0.500
straight,			32.00,	320.00,	-90.00,	0.500
straight_link,		-32.00,	288.00,	-180.00,	0.500
internal_right_link,		-96.00,	288.00,	180.00,	0.500
straight,			-64.00,	288.00,	-180.00,	0.500
external_left_link,		32.00,	352.00,	-90.00,	0.500
tower_internal_corner_link,	32.00,	288.00,	-90.00,	0.500
external_right_link,		96.00,	416.00,	-180.00,	0.500
straight,			64.00,	384.00,	-135.00,	0.500
external_left_link,		352.00,	416.00,	180.00,	0.500
gateway,			256.00,	416.00,	-180.00,	0.500
tower_straight,		384.00,	384.00,	135.00,	0.500
tower_straight,		128.00,	416.00,	180.00,	0.500
straight,			192.00,	416.00,	-180.00,	0.500
straight_link,		160.00,	416.00,	-180.00,	0.500
external_right_link,		416.00,	352.00,	90.00,	0.500
straight,			320.00,	416.00,	-180.00,	0.500
straight,			416.00,	-320.00,	90.00,	0.500
straight,			416.00,	-192.00,	90.00,	0.500
straight,			416.00,	320.00,	90.00,	0.500
straight,			416.00,	192.00,	90.00,	0.500
straight,			416.00,	64.00,	90.00,	0.500
straight,			416.00,	-64.00,	90.00,	0.500
straight_link,		416.00,	160.00,	90.00,	0.500
gateway,			416.00,	-256.00,	90.00,	0.500
tower_straight,		-416.00,	256.00,	-90.00,	0.500
straight_link,		416.00,	96.00,	90.00,	0.500
tower_straight,		416.00,	-128.00,	90.00,	0.500
tower_straight,		416.00,	128.00,	90.00,	0.500
straight_link,		416.00,	288.00,	90.00,	0.500
straight_link,		416.00,	-96.00,	90.00,	0.500
straight_link,		416.00,	224.00,	90.00,	0.500
straight_link,		416.00,	-160.00,	90.00,	0.500
straight_link,		416.00,	32.00,	90.00,	0.500
straight_link,		416.00,	-32.00,	90.00,	0.500
external_left_link,		416.00,	-352.00,	90.00,	0.500
tower_straight,		384.00,	-384.00,	45.00,	0.500
tower_external_corner_link,	32.00,	-416.00,	0.00,	0.500
straight,			192.00,	-416.00,	0.00,	0.500
straight,			320.00,	-416.00,	0.00,	0.500
straight_link,		96.00,	-416.00,	0.00,	0.500
straight_link,		160.00,	-416.00,	0.00,	0.500
straight_link,		224.00,	-416.00,	0.00,	0.500
straight_link,		288.00,	-416.00,	0.00,	0.500
straight,			64.00,	-416.00,	0.00,	0.500
tower_straight,		128.00,	-416.00,	0.00,	0.500
external_right_link,		352.00,	-416.00,	0.00,	0.500
straight,			0.00,	-352.00,	0.00,	0.500
straight,			-96.00,	-384.00,	90.00,	0.500
straight,			32.00,	-384.00,	-90.00,	0.500
straight_link,		-32.00,	-352.00,	0.00,	0.500
tower_internal_corner_link,	-96.00,	-352.00,	90.00,	0.500
tower_internal_corner_link,	32.00,	-352.00,	0.00,	0.500
straight,			-64.00,	-352.00,	0.00,	0.500
tower_external_corner_link,	-96.00,	-416.00,	90.00,	0.500
straight,			-128.00,	-416.00,	0.00,	0.500
external_right_link,		-352.00,	-352.00,	-90.00,	0.500
external_left_link,		-288.00,	-416.00,	0.00,	0.500
straight,			-256.00,	-416.00,	0.00,	0.500
tower_straight,		-320.00,	-384.00,	-45.00,	0.500
straight,			-352.00,	-320.00,	-90.00,	0.500
straight,			-352.00,	-192.00,	-90.00,	0.500
straight_link,		-352.00,	-288.00,	-90.00,	0.500
straight_link,		-352.00,	-224.00,	-90.00,	0.500
internal_left_link,		-352.00,	-160.00,	-90.00,	0.500
tower_straight,		-384.00,	-128.00,	-45.00,	0.500
gateway,			-416.00,	0.00,	-90.00,	0.500
straight,			-416.00,	-64.00,	-90.00,	0.500
straight,			-416.00,	64.00,	-90.00,	0.500
straight_link,		-416.00,	96.00,	-90.00,	0.500
external_right_link,		-416.00,	-96.00,	-90.00,	0.500
straight,			-416.00,	192.00,	-90.00,	0.500
straight,			-416.00,	320.00,	-90.00,	0.500
straight,			-416.00,	384.00,	-90.00,	0.500
straight_link,		-416.00,	160.00,	-90.00,	0.500
straight_link,		-416.00,	224.00,	-90.00,	0.500
straight_link,		-416.00,	288.00,	-90.00,	0.500
straight_link,		-416.00,	352.00,	-90.00,	0.500

	}



; road joiners

gateway_slot_into_roman_town,			-448.00,	0.00,	-180.00,	0
gateway_slot_into_roman_town,			448.00,	-256.00,	0.00,	0
gateway_slot_into_roman_town,			256.00,	448.00,	90.00,	0
gateway_slot_into_roman_town,			-192.00,	-448.00,	-90.00,	0.00



; SLOTS etc

slot_plaza_roman_192x192m,		215.68,		59.03,		0.00,		0.5
slot_112x64_barracks,		104.88,		256.22,		-90.00,		0.5
slot_112x64_equestrian,		-318.00,	134.00,		180,		0.5
slot_160x128_amphitheatres,	-203.00,	-293.00,	90.00,		0.5
slot_160x128_market,		-7.5,		-135.5,	90.00,		0.5
slot_160x128_religious,		-80.00,		88.00,		0.00,		0.5
slot_256x192_core_building,	215.5,		-164.97,	90.00,		0.5
slot_48x32_academic,		199,		274,		0,		0.5
slot_48x32_smith,		-271.85,	66.86,		180.00,		0.5
slot_112x64_missiles,		251.42,		-332.66,	0,		0.5
slot_112x64_health_large_city,		-276,	319,	-90,	0.5



;COLLISION INFO

roman_large_city_collision,		0,	0,	0,	0

;AMBIENTS


insulae_white,			-97.616,	-62.318,	90,	0.5
insulae_white,			-148.758,	-100.749,	90,	0.5
insulae_white,			97.904,		-240.145,	0,	0.5
insulae_white,			-112.934,	-189.067,	180,	0.5
insulae_white,			362.885,	-336.235,	-45,	0.5
insulae_white,			-230.04,	189.743,	-90,	0.5
insulae_white,			-191.753,	277.915,	-90,	0.5
insulae_white,			-306.184,	-320.09,	180,	0.5
insulae_white,			-304.931,	-144.304,	180,	0.5
insulae_white,			108.524,	360.248,	135,	0.5
insulae_white,			346.837,	353.076,	45,	0.5
insulae_white,			234.494,	178.637,	90,	0.5
insulae_white,			96.24,		-280.194,	0,	0.5
insulae_white,			98.128,		36.77,		0,	0.5

roman_colonnaded_portico,			328.18,	-362.51,	90.00,	0.5
roman_colonnaded_portico,			-284.87,	-343.38,	90.00,	0.5
roman_colonnaded_portico,			-161.96,	-19.21,	90.00,	0.5
roman_colonnaded_portico,			81.78,	320.67,	-180.00,	0.5
roman_colonnaded_portico,			-122.48,	-19.21,	90.00,	0.5
roman_colonnaded_portico,			365.96,	-26.26,	110.00,	0.5
roman_colonnaded_portico,			-169.34,	194.64,	90.00,	0.5
roman_colonnaded_portico,			100.221,	175.692,	0,	0.5
roman_colonnaded_portico,			-234.034,	210.068,	90,	0.5
roman_colonnaded_portico,			-167.395,	280.503,	0,	0.5

roman_small_plinth_bridge,			-256.00,	-48.00,	90.00,	0.5

roman_small_plinth_group,			-252.00,	-11.038,	-90.00,	0.5
roman_small_plinth_group,			-252.00,	-84.833,	90.00,	0.5
roman_small_plinth_group,			244.00,	230.00,	-90.00,	0.5
roman_small_plinth_group,			-23.54,	-286.84,	90.00,	0.5

triumphal_arch,			-181,	-48,	-90,	0
triumphal_arch,			-158.5,	302.5,	-135,	0
triumphal_arch,			285,	-384,	-90,	0

roman_statue,			114.82,	352.51,	-60.00,	0.5
roman_statue,			105.38,	140.17,	180.00,	0.5
roman_statue,			189.84,	244.58,	90.00,	0.5
roman_statue,			-313.30,	186.62,	0.00,	0.5


roman_triumphal_column,		-290.88,	-138.33,	0.00,	0
roman_triumphal_column,		-234.42,	313.21,	0.00,	0


roman_tenamentA1_group,			343.99,	144.19,	0.00,	0.5
roman_tenamentA2_group,			-344.66,	59.34,	0.00,	0.5
roman_tenamentA3_group,			-96.78,	217.87,	-90.00,	0.5
roman_tenamentA3_group,			14.47,	217.87,	-90.00,	0.5
roman_tenamentA3_group,			332.67,	302.88,	90.00,	0.5
